Name Gang Age Education Marital Occupation
Art Jets 40 JH sing. pusher
Al Jets 30 JH mar. burglar
Sam Jets 20 COL. sing. bookie
Clyde Jets 40 JH sing. bookie
Mike Jets 30 JH sing. bookie
Jim Jets 20 JH div. burglar
Greg Jets 20 HS mar. pusher
John Jets 20 JH mar. burglar
Doug Jets 30 HS sing. bookie
Lance Jets 20 JH mar. burglar
George Jets 20 JH div. burglar
Pete Jets 20 HS sing. bookie
Fred Jets 20 HS sing. pusher
Gene Jets 20 COL. sing. pusher
Ralph Jets 30 JH sing. pusher
Phil Sharks 30 COL. mar. pusher
Ike Sharks 30 JH sing. bookie
Nick Sharks 30 HS sing. pusher
Don Sharks 30 COL. mar. burglar
Ned Sharks 30 COL. mar. bookie
Karl Sharks 40 HS mar. bookie
Ken Sharks 20 HS sing. burglar
Earl Sharks 40 HS mar. burglar
Rick Sharks 30 HS div. burglar
Ol Sharks 30 COL. mar. pusher
Neal Sharks 30 HS sing. bookie
Dave Sharks 30 HS div. pusher
